crime_index,city
1986,Lodi
1996,Lakeport
1997,King City
1999,Yreka
2000,Pismo Beach
2009,Avalon
2010,Oakdale
2011,Madera
2011,California City
2023,Nevada City
2030,Riverside
2036,Porterville
2040,Watsonville
2043,Del Mar
2050,Lancaster
2056,Adelanto
2061,Monterey
2069,Hayward
2087,Sanger
2097,Brawley
2098,Indio
2108,Ceres
2121,Jackson
2123,Paramount
2137,Hawthorne
2146,Crescent City
2151,Grass Valley
2179,Ukiah
2188,Atwater
2190,Pomona
2194,Lynwood
2195,Signal Hill
2234,Delano
2248,Pinole
2261,Fort Bragg
2267,National City
2269,Coachella
2283,Alturas
2293,Huron
2303,Victorville
2306,Inglewood
2339,Corning
2348,Parlier
2350,Redding
2368,Turlock
2375,Visalia
2393,Needles
2445,Arvin
2447,Hemet
2476,Salinas
2491,El Cerrito
2493,San Leandro
2522,Weed
2530,El Centro
2535,Bakersfield
2558,Antioch
2582,Fresno
2596,Merced
2600,Dos Palos
2606,West Hollywood
2609,Isleton
2641,Clearlake
2643,Huntington Park
2649,Tulare
2649,Selma
2680,Montclair
2684,Gridley
2697,Dinuba
2722,Anderson
2731,East Palo Alto
2735,San Francisco
2793,Berkeley
2815,Modesto
2817,Santa Cruz
2869,Big Bear Lake
2943,Sacramento
2951,Marysville
2980,Palm Springs
3003,Capitola
3129,Barstow
3188,Red Bluff
3297,Vallejo
3312,Eureka
3351,San Bernardino
3393,San Pablo
3473,Compton
3496,Trinidad
3517,Orange Cove
3527,Sonora
3688,Santa Fe Springs
3769,Richmond
3947,Stockton
4034,Oroville
4186,Desert Hot Springs
4221,Commerce
4321,Blue Lake
5053,Oakland
6041,Emeryville
6413,Colma
7576,Irwindale
12157,Sand City
126554,Industry
199187,Vernon
